1520631995.641905,position,1,2,-0.006687,0.000180,0.004650
1520631995.641905,orientation,1,2,-0.157476,0.088079,-1.569220
1520631995.652397,position,1,2,-0.007184,0.000246,0.004544
1520631995.652397,orientation,1,2,-0.159746,0.085482,-1.567419
1520631995.668530,position,1,2,-0.007762,0.000340,0.004592
1520631995.668530,orientation,1,2,-0.160404,0.083664,-1.565354
1520631995.684917,position,1,2,-0.008380,0.000454,0.004807
1520631995.684917,orientation,1,2,-0.159520,0.083061,-1.563562
1520631995.702304,position,1,2,-0.008996,0.000564,0.005070
1520631995.702304,orientation,1,2,-0.158296,0.083212,-1.562279
1520631995.717650,position,1,2,-0.009583,0.000663,0.005308
1520631995.717650,orientation,1,2,-0.157414,0.083548,-1.561587
1520631995.736180,position,1,2,-0.009830,0.000740,0.006729
1520631995.736180,orientation,1,2,-0.156688,0.083693,-1.561571
1520631995.752609,position,1,2,-0.010351,0.000857,0.006984
1520631995.752609,orientation,1,2,-0.156118,0.083272,-1.561394
1520631995.769487,position,1,2,-0.010905,0.001016,0.007236
1520631995.769487,orientation,1,2,-0.155426,0.082480,-1.560889
1520631995.784509,position,1,2,-0.011514,0.001227,0.007443
1520631995.784509,orientation,1,2,-0.154853,0.081498,-1.559855
1520631995.802924,position,1,2,-0.012176,0.001485,0.007584
1520631995.802924,orientation,1,2,-0.154503,0.080552,-1.558311
1520631995.819275,position,1,2,-0.012578,0.002567,0.007532
1520631995.819275,orientation,1,2,-0.154442,0.079602,-1.556924
1520631995.837561,position,1,2,-0.013186,0.002894,0.007541
1520631995.837561,orientation,1,2,-0.154319,0.079091,-1.555444
1520631995.853174,position,1,2,-0.013733,0.003209,0.007494
1520631995.853174,orientation,1,2,-0.154341,0.078992,-1.554449
1520631995.869719,position,1,2,-0.014227,0.003498,0.007396
1520631995.869719,orientation,1,2,-0.154464,0.079441,-1.553883
1520631995.885886,position,1,2,-0.014702,0.003763,0.007290
1520631995.885886,orientation,1,2,-0.154399,0.080532,-1.553505
1520631995.904385,position,1,2,-0.015171,0.004003,0.007216
1520631995.904385,orientation,1,2,-0.153892,0.082086,-1.553187
1520631995.919676,position,1,2,-0.015716,0.004272,0.006454
1520631995.919676,orientation,1,2,-0.152955,0.083402,-1.553269
1520631995.937652,position,1,2,-0.016132,0.004440,0.006398
1520631995.937652,orientation,1,2,-0.152330,0.084354,-1.553249
1520631995.954626,position,1,2,-0.016522,0.004575,0.006292
1520631995.954626,orientation,1,2,-0.152285,0.084557,-1.553292
1520631995.971009,position,1,2,-0.016891,0.004682,0.006126
1520631995.971009,orientation,1,2,-0.152878,0.084201,-1.553320
1520631995.985336,position,1,2,-0.017251,0.004767,0.005943
1520631995.985336,orientation,1,2,-0.153607,0.083800,-1.553321
1520631996.003469,position,1,2,-0.017623,0.004845,0.005798
1520631996.003469,orientation,1,2,-0.153886,0.083798,-1.553247
1520631996.019865,position,1,2,-0.017517,0.004315,0.004830
